WS_ID,Name,ISIN,Country,Primary_Ticker,Primary_Exchange,Primary_MIC,Primary_Currency,Primary_Universe_Index,Index_Tags,Yahoo_Symbol,AsOf,Bars,Bars_Raw,Bars_Used,Excluded_Invalid_Bars,Close_Raw,Close_Tech,EMA20,EMA50,SMA200,ATR14_Wilder_DEV,ATR14_Pct_DEV,R5,R20,R60,High20,High60,High252,Low20,Low60,Dist_EMA20,Dist_EMA50,Dist_SMA200,Dist_High252,Range20_Pct,MedianVolume20_Tech,MedianTurnover20_Native,Split_Count,Feature_Status
WS:ISIN:INE002A01018,Reliance Industries Ltd.,INE002A01018,India,RELIANCE,National Stock Exchange of India,XNSE,INR,IN_NIFTY50,IN_NIFTY50,RELIANCE.NS,2026-08-21,501,501,501,0,1316.0,1316.0,1311.36377289549,1312.949016221222,1399.5245025634765,19.52590858567167,0.014837316554461754,0.004580152671755711,0.029733959311424085,-0.003935779112966831,1337.0,1345.9000244140625,1611.800048828125,1265.9000244140625,1249.800048828125,0.0035354241136866804,0.0023237640921951463,-0.05968062896397075,-0.18352155346017596,0.054027337071381076,9422804.0,12215670274.485779,1,DEV_FEATURES_NOT_YET_PROMOTED
WS:ISIN:INE009A01021,Infosys Ltd.,INE009A01021,India,INFY,National Stock Exchange of India,XNSE,INR,IN_NIFTY50,IN_NIFTY50,INFY.NS,2026-08-21,501,501,501,0,1121.0,1121.0,1137.1648265887252,1131.5855675752289,1325.6275003051758,27.35029417789234,0.024398121478940535,-0.04122472903250185,0.07695261188126779,-0.03436990574119514,1195.0,1278.9000244140625,1728.0,1057.4000244140625,982.4000244140625,-0.01421502513159556,-0.009354632896133253,-0.15436274538516137,-0.35127314814814814,0.12274752505435994,8716690.0,10027059080.0,0,DEV_FEATURES_NOT_YET_PROMOTED
WS:ISIN:INE018A01030,Larsen & Toubro Ltd.,INE018A01030,India,LT,National Stock Exchange of India,XNSE,INR,IN_NIFTY50,IN_NIFTY50,LT.NS,2026-08-21,501,501,501,0,4093.0,4093.0,4024.956250699576,3996.826745324249,3981.185499267578,56.254996283843916,0.013744196502282901,0.008873551885629771,0.08120242350322959,0.004047589844229149,4100.0,4272.2998046875,4440.0,3793.0,3720.0,0.01690546308139318,0.024062402701908736,0.028085729929688608,-0.07815315315315319,0.07500610798924993,1427776.0,5674757432.190308,0,DEV_FEATURES_NOT_YET_PROMOTED
WS:ISIN:INE019A01038,JSW Steel Ltd.,INE019A01038,India,JSWSTEEL,National Stock Exchange of India,XNSE,INR,IN_NIFTY50,IN_NIFTY50,JSWSTEEL.NS,2026-08-21,501,501,501,0,1293.699951171875,1293.699951171875,1279.84559692312,1269.1016510922545,1218.4350048828126,25.093327922165418,0.01939655937950301,0.01866137887549213,0.04263370427307067,0.012284781824628332,1335.0,1335.0,1335.0,1234.300048828125,1210.699951171875,0.010825020050904799,0.01938245061650501,0.06177181875721094,-0.03093636616338946,0.07783872224827539,1494849.0,1903734222.4520874,0,DEV_FEATURES_NOT_YET_PROMOTED
WS:ISIN:INE021A01026,Asian Paints Ltd.,INE021A01026,India,ASIANPAINT,National Stock Exchange of India,XNSE,INR,IN_NIFTY50,IN_NIFTY50,ASIANPAINT.NS,2026-08-21,501,501,501,0,2640.0,2640.0,2694.579973696561,2684.3388722706463,2609.691494140625,49.85410133082622,0.018884129291979627,-0.02088048355471206,0.0007961248470360616,-0.011828154102843547,2864.0,2864.0,2985.699951171875,2601.0,2579.89990234375,-0.020255466243106257,-0.016517613602615167,0.011613827123790221,-0.1157852285311487,0.09962121212121212,808590.0,2235866420.0,0,DEV_FEATURES_NOT_YET_PROMOTED
WS:ISIN:INE027H01010,Max Healthcare Institute Ltd.,INE027H01010,India,MAXHEALTH,National Stock Exchange of India,XNSE,INR,IN_NIFTY50,IN_NIFTY50,MAXHEALTH.NS,2026-08-21,501,501,501,0,1000.0,1000.0,1040.453528252189,1057.0479184118908,1047.4159997558593,27.01199899414155,0.02701199899414155,-0.00852664663306324,-0.07441690355168784,0.03616208195723325,1135.9000244140625,1167.9000244140625,1256.0,981.0999755859375,919.7999877929688,-0.038880668048812406,-0.0539690939438201,-0.04526950110262917,-0.20382165605095537,0.154800048828125,1693761.5,1832771993.4255981,0,DEV_FEATURES_NOT_YET_PROMOTED
WS:ISIN:INE030A01027,Hindustan Unilever Ltd.,INE030A01027,India,HINDUNILVR,National Stock Exchange of India,XNSE,INR,IN_NIFTY50,IN_NIFTY50,HINDUNILVR.NS,2026-08-21,501,501,501,0,2015.0,2015.0,2073.2584140541026,2115.1222858814704,2247.8450024414065,34.578558981523244,0.017160575176934614,-0.02985074626865669,-0.06060606060606055,-0.06431390759229161,2213.0,2239.300048828125,2750.0,2008.300048828125,2008.300048828125,-0.0280999289134356,-0.04733640534629646,-0.10358587989319157,-0.2672727272727272,0.10158806509770471,1155209.0,2405592572.779785,0,DEV_FEATURES_NOT_YET_PROMOTED
WS:ISIN:INE038A01020,Hindalco Industries Ltd.,INE038A01020,India,HINDALCO,National Stock Exchange of India,XNSE,INR,IN_NIFTY50,IN_NIFTY50,HINDALCO.NS,2026-08-21,501,501,501,0,1034.0,1034.0,1023.1121150903076,1009.4675557167762,954.8607528686523,24.089935540210377,0.023297810000203457,0.004371053909664857,0.09673314954163748,-0.0822756325456997,1087.949951171875,1161.0,1176.0,935.0999755859375,935.0999755859375,0.01064192745751158,0.024302360332724593,0.0828804062724251,-0.12074829931972786,0.14782396091483319,4576800.0,4759923818.636719,0,DEV_FEATURES_NOT_YET_PROMOTED
WS:ISIN:INE040A01034,HDFC Bank Ltd.,INE040A01034,India,HDFCBANK,National Stock Exchange of India,XNSE,INR,IN_NIFTY50,IN_NIFTY50,HDFCBANK.NS,2026-08-21,501,501,501,0,726.9500122070312,726.9500122070312,737.502952850801,757.4517646510307,852.3160000610352,9.970830600395766,0.013715978310701411,-6.87589999570637e-05,-0.021338147343043845,-0.023638406922963262,757.9000244140625,843.0,1020.5,715.0999755859375,715.0999755859375,-0.0143090147679783,-0.04026890406421069,-0.14708862422508362,-0.28765309925817617,0.05887619246085904,24591536.5,18109131357.09836,1,DEV_FEATURES_NOT_YET_PROMOTED
WS:ISIN:INE044A01036,Sun Pharmaceutical Industries Ltd.,INE044A01036,India,SUNPHARMA,National Stock Exchange of India,XNSE,INR,IN_NIFTY50,IN_NIFTY50,SUNPHARMA.NS,2026-08-21,501,501,501,0,1902.4000244140625,1902.4000244140625,1924.6584430395521,1908.050624389938,1794.2890026855468,31.874527682729106,0.016754902898272635,-0.014300505484941661,-0.01993712413508897,0.057358868409800756,2046.9000244140625,2046.9000244140625,2046.9000244140625,1868.300048828125,1756.800048828125,-0.011564866850004685,-0.002961451810369109,0.06025284754390392,-0.07059455678171878,0.09388139891395667,1878988.5,3600595096.5,0,DEV_FEATURES_NOT_YET_PROMOTED
